transformer_id,substation_id,transformer_type,capacity_kva,manufacturer,installation_date,age_years,rated_voltage_kv,latitude,longitude,customer_count,critical_customer_count,hospital_nearby,industrial_load,criticality_score
TR032,SS04,Power,1600,GE Grid Solutions,2015-10-27,10.9,33,22.881316,72.452775,50,1,False,True,39.1
TR033,SS04,Distribution,630,GE Grid Solutions,2019-07-20,7.1,22,22.533814,72.420262,4931,207,False,False,35.2
TR034,SS04,Distribution,1000,GE Grid Solutions,2023-10-06,2.9,22,22.704934,72.538664,9136,661,False,False,37.3
TR035,SS04,Distribution,315,ABB,2017-06-20,9.2,110,22.785559,72.575816,3138,146,False,False,36.2
TR036,SS04,Power,1000,Hitachi Energy,2015-02-08,11.6,110,22.458612,72.622591,1589,22,False,False,37.4
TR037,SS04,Power,500,ABB,2013-06-01,13.3,22,23.06544,72.520345,1524,97,True,False,51.0
TR038,SS04,Power,315,GE Grid Solutions,2008-08-04,18.1,110,22.550115,72.816061,1108,80,True,True,63.8
TR039,SS04,Distribution,2500,Siemens,2023-01-01,3.7,33,23.044586,72.384339,21647,1092,False,False,57.6
TR040,SS04,Power,2500,Hitachi Energy,2022-09-23,4.0,66,22.891008,72.860679,4654,67,False,False,28.1
TR041,SS05,Distribution,1000,GE Grid Solutions,2008-04-03,18.4,11,22.479645,72.880487,10441,531,True,False,74.7
TR042,SS05,Power,315,Hitachi Energy,2021-03-11,5.5,11,22.551591,72.917615,217,14,False,False,25.0
TR043,SS05,Distribution,630,Hitachi Energy,2012-08-12,14.1,33,22.533452,72.430457,4893,211,False,False,47.5
TR044,SS05,Distribution,500,GE Grid Solutions,2021-08-11,5.1,22,22.671929,72.371636,3813,136,False,False,29.7
TR045,SS05,Distribution,630,Schneider Electric,2009-07-10,17.2,11,23.001203,72.679487,3897,209,False,False,51.7
TR046,SS05,Distribution,1000,GE Grid Solutions,2024-07-22,2.1,22,23.009909,72.53867,7183,532,False,False,32.4
TR047,SS05,Power,630,Hitachi Energy,2008-01-24,18.6,11,22.669725,72.795616,1721,45,False,True,55.0
TR048,SS05,Distribution,1600,Siemens,2015-05-20,11.3,66,23.146825,72.813263,8897,124,False,False,46.4
TR049,SS05,Distribution,1000,GE Grid Solutions,2020-05-25,6.3,33,22.566135,72.851783,6827,141,False,True,40.4
TR050,SS05,Power,630,Siemens,2021-12-18,4.7,66,22.753645,72.631596,3028,104,True,False,37.8
TR051,SS06,Distribution,315,ABB,2023-01-18,3.6,110,22.508881,72.4962,2606,109,False,False,25.4
TR052,SS06,Power,1000,GE Grid Solutions,2014-09-22,12.0,33,23.041135,72.639544,2406,78,False,True,44.6
TR053,SS06,Power,1600,Schneider Electric,2015-11-09,10.8,33,22.523486,72.589132,50,2,False,False,34.0
TR054,SS06,Power,1000,Siemens,2008-05-09,18.3,11,22.868934,72.354389,1680,125,False,True,55.2
TR055,SS06,Distribution,1000,GE Grid Solutions,2020-12-22,5.7,33,23.124248,72.819203,9495,590,False,False,42.0
TR056,SS06,Power,315,Schneider Electric,2021-06-18,5.2,33,22.963627,72.79999,778,60,False,True,30.6
TR057,SS06,Distribution,315,Schneider Electric,2016-10-27,9.9,11,23.005578,72.400892,2716,108,False,False,36.6
TR058,SS06,Distribution,1600,Siemens,2015-10-07,10.9,110,22.949281,72.814232,5806,50,True,False,51.3
TR059,SS06,Power,1000,ABB,2014-01-25,12.6,66,22.924101,72.367764,4902,340,True,False,56.2
TR060,SS06,Distribution,2500,Hitachi Energy,2012-03-12,14.5,33,22.727858,72.514895,25554,1500,False,False,85.2
TR061,SS07,Power,315,GE Grid Solutions,2019-05-13,7.3,11,22.545775,72.694923,1070,85,False,False,29.9
TR062,SS07,Power,1000,Hitachi Energy,2009-05-14,17.3,33,22.591385,72.360601,5695,86,False,True,57.8
TR063,SS07,Distribution,1000,Hitachi Energy,2015-06-24,11.2,11,22.614568,72.545206,6964,317,False,False,45.9
TR064,SS07,Power,630,GE Grid Solutions,2011-08-17,15.1,33,23.06202,72.519948,360,8,False,True,46.9
TR065,SS07,Distribution,1600,Schneider Electric,2018-06-24,8.2,66,23.001313,72.461108,15205,845,False,False,55.5
TR066,SS07,Distribution,315,Schneider Electric,2013-12-22,12.7,33,22.478755,72.49764,2050,16,False,True,44.8
TR067,SS07,Distribution,630,Siemens,2021-04-02,5.4,33,22.594914,72.531243,3111,105,True,False,39.1
TR068,SS07,Distribution,500,Hitachi Energy,2012-02-12,14.6,11,22.751929,72.818349,3487,150,False,False,46.1
TR069,SS07,Power,500,Schneider Electric,2018-03-25,8.5,11,22.483999,72.626462,77,2,False,False,30.0
TR070,SS07,Power,315,Hitachi Energy,2013-02-01,13.6,11,22.884105,72.494983,729,14,True,True,54.8
TR071,SS08,Distribution,630,Hitachi Energy,2016-01-08,10.7,66,22.627984,72.901276,6674,115,False,False,42.7
TR072,SS08,Distribution,1000,Hitachi Energy,2009-05-20,17.3,110,22.739818,72.540581,8710,566,False,False,61.1
TR073,SS08,Distribution,250,Siemens,2014-01-19,12.6,11,23.073014,72.706298,1110,64,False,False,39.0
TR074,SS08,Distribution,315,Schneider Electric,2009-03-22,17.5,33,22.859247,72.426146,1384,7,True,False,57.3
TR075,SS08,Power,2500,ABB,2010-08-05,16.1,33,23.035372,72.360896,1269,63,False,False,45.3
TR076,SS08,Distribution,500,GE Grid Solutions,2022-04-17,4.4,66,22.846856,72.805053,2416,84,False,False,26.4
TR077,SS08,Power,500,GE Grid Solutions,2024-01-01,2.7,33,22.726505,72.759549,1252,45,True,False,31.6
TR078,SS08,Distribution,5000,Hitachi Energy,2019-03-25,7.5,11,23.064856,72.577432,30000,627,False,False,69.4
TR079,SS08,Distribution,1000,Schneider Electric,2017-10-26,8.9,33,22.519904,72.472638,4744,345,False,False,39.6
TR080,SS08,Power,250,GE Grid Solutions,2024-05-22,2.3,110,22.856693,72.595484,453,16,False,False,19.7
TR081,SS09,Distribution,2500,ABB,2009-03-10,17.5,22,22.687634,72.922939,18892,280,False,False,70.5
TR082,SS09,Distribution,250,ABB,2017-11-10,8.8,66,22.631608,72.377104,2165,41,False,False,33.3
TR083,SS09,Distribution,2500,Siemens,2019-06-24,7.2,33,23.081149,72.940741,17438,473,False,False,52.7
TR084,SS09,Power,2500,ABB,2014-02-26,12.5,11,22.829655,72.449187,2843,35,False,False,40.5
TR085,SS09,Distribution,315,GE Grid Solutions,2014-08-15,12.1,66,22.990647,72.474088,2506,82,False,False,39.9
TR086,SS09,Power,315,ABB,2020-02-11,6.6,66,22.621681,72.776147,50,1,False,False,26.6
TR087,SS09,Power,1600,ABB,2017-07-20,9.1,11,22.994151,72.660597,50,1,False,False,31.0
TR088,SS09,Distribution,630,Siemens,2022-06-10,4.3,33,22.564504,72.68265,4417,338,False,False,31.1
TR089,SS09,Distribution,500,Hitachi Energy,2014-02-05,12.6,11,22.82232,72.462343,4386,222,False,False,44.4
TR090,SS09,Power,1600,Siemens,2014-06-23,12.2,33,23.00612,72.723625,4728,145,True,True,58.3
TR091,SS10,Power,1600,Schneider Electric,2011-12-15,14.7,11,22.493444,72.624957,2848,15,False,True,49.2
TR092,SS10,Distribution,315,Hitachi Energy,2016-05-05,10.4,33,22.869787,72.63367,1575,94,False,False,36.0
TR093,SS10,Power,500,Hitachi Energy,2009-09-27,17.0,11,23.144265,72.668848,1631,63,False,False,47.3
TR094,SS10,Distribution,500,GE Grid Solutions,2020-05-20,6.3,110,23.08496,72.601581,3390,160,False,False,31.6
TR095,SS10,Distribution,500,Siemens,2015-06-07,11.3,22,22.463837,72.545928,3840,211,False,False,41.4
TR096,SS10,Distribution,1600,GE Grid Solutions,2020-03-25,6.5,66,22.922316,72.896196,11366,291,False,False,42.5
TR097,SS10,Distribution,630,GE Grid Solutions,2021-12-16,4.7,33,22.729773,72.761257,4455,231,False,False,30.7
TR098,SS10,Distribution,500,Schneider Electric,2024-08-10,2.1,66,22.792877,72.729322,4305,297,False,False,26.7
TR099,SS10,Distribution,500,Hitachi Energy,2024-12-09,1.8,110,22.786425,72.623871,3937,240,False,False,25.1
TR100,SS10,Distribution,1000,Schneider Electric,2013-04-13,13.4,11,22.56739,72.354504,6692,143,False,False,47.7
